"month","year","abu","spp_no","mean"
5,2005,4145,27,153.518518518518
7,2005,5907,27,218.777777777778
5,2006,4051,31,130.677419354839
7,2006,8667,23,376.826086956522
5,2007,5524,33,167.393939393939
7,2007,4691,29,161.758620689655
5,2008,4694,31,151.41935483871
7,2008,7392,31,238.451612903226
5,2009,5684,34,167.176470588235
7,2009,6111,26,235.038461538461
5,2010,4223,26,162.423076923077
7,2010,6787,28,242.392857142857
5,2011,6541,32,204.40625
7,2011,7610,30,253.666666666667
5,2012,5635,35,161
7,2012,6803,29,234.586206896552
5,2013,5266,29,181.586206896552
7,2013,8044,25,321.76
5,2014,5244,31,169.161290322581
7,2014,9612.00000000001,31,310.064516129032
5,2015,6844,35,195.542857142857
7,2015,11657,33,353.242424242424
5,2016,4443,21,211.571428571429
7,2016,5229,29,180.310344827586
