"spp","month","slope"
"act_hyp","5","0.876893980421609"
"act_hyp","7","0.61547809145629"
"ana_cly","5","1.67210702759115"
"ana_cly","7","0"
"ana_cre","5","-0.861573394670114"
"ana_cre","7","-0.0631998736437487"
"ana_pla","5","0.281235128890231"
"ana_pla","7","0.328938710248733"
"ana_que","5","0.944831904686636"
"ana_que","7","-0.171573099121162"
"ana_str","5","-0.0353278762080407"
"ana_str","7","0.227482818026416"
"ans_ans","5","0.604603924971378"
"ans_ans","7","-0.0605618904574248"
"ard_cin","5","1.37817803406695"
"ard_cin","7","0.574409817447408"
"ayt_fer","5","0.0772639192707436"
"ayt_fer","7","-0.284211166546658"
"ayt_ful","5","0.487649742537246"
"ayt_ful","7","0.202259346426596"
"buc_cla","5","1.58068804631445"
"buc_cla","7","0.635292563718791"
"cas_alb","5","2.6079958231854"
"cas_alb","7","1.72124628921666"
"cha_dub","5","0.170207987593653"
"cha_dub","7","-0.191539190551891"
"cic_nig","5","-0.968979930604884"
"cic_nig","7","-1.30219333458289"
"cir_aer","5","2.17969314201586"
"cir_aer","7","0.640492421911493"
"cyg_olo","5","-0.334937847199521"
"cyg_olo","7","0.148220148248207"
"ful_atr","5","0.341691183054457"
"ful_atr","7","0.188793956607046"
"gal_chl","5","0.0681862973623368"
"gal_chl","7","0.673784898532251"
"hal_alb","5","-0.988361042816176"
"hal_alb","7","0.562305967763431"
"lar_cac","5","8.06163079673821"
"lar_cac","7","9.53646633521379"
"lar_rid","5","-0.0972119262165142"
"lar_rid","7","-0.140380151680531"
"net_ruf","5","1.11266146502637"
"net_ruf","7","0.747459184679425"
"nyc_nyc","5","-0.988526570840568"
"nyc_nyc","7","1.10329267978389"
"pha_car","5","0.753711705726889"
"pha_car","7","0.227887712364286"
"pod_cri","5","0.333307014854763"
"pod_cri","7","-0.648377790118091"
"pod_nig","5","-0.764534610607396"
"pod_nig","7","-0.0102057746489451"
"ste_hir","5","1.66193598305803"
"ste_hir","7","1.05386272842157"
"tac_ruf","5","0.860718377454408"
"tac_ruf","7","1.72933096355523"
"tri_gla","5","0.270136100773774"
"tri_gla","7","0"
"tri_och","5","0.240353174597781"
"tri_och","7","0.451030963859668"
"van_van","5","0.0250200127444006"
"van_van","7","0.356706627268851"
